student_id,final_score,ai_hours,prior_score,motivation,digital_skill,study_hours,assignment_quality,gender,class_id
34,82.57,11.05,71.23,5.94,7.15,16.92,80.88,1,2
35,73.18,10.03,75.59,8.44,4.15,17.46,81.71,1,12
36,81.08,10.06,80.76,5.94,5.61,14.49,86.28,1,17
37,60.7,0.81,67.35,4.83,1.33,10.99,71.68,1,1
38,68.2,5.2,63.14,5.34,5.35,13.57,77.41,1,20
39,77.19,10.37,81.82,5.71,5.48,11.85,85.88,1,13
40,67.01,8.04,68.65,6.52,3.65,12.52,84.16,0,7
41,58.91,0.0,58.93,3.81,2.67,11.33,58.1,1,1
42,61.0,5.55,67.36,6.1,3.37,13.01,77.04,1,20
43,78.04,11.36,72.67,6.81,4.95,13.51,95.11,1,18
44,84.86,14.26,83.13,5.68,8.01,10.72,92.11,0,17
45,53.4,1.46,58.43,3.22,4.39,8.25,69.77,1,10
46,61.39,7.14,65.77,5.18,4.88,12.27,89.32,0,16
47,69.97,5.43,64.82,5.96,6.22,16.8,75.94,0,14
48,74.61,9.69,72.8,8.25,7.05,13.98,83.27,1,2
49,70.77,6.45,66.59,5.28,5.44,12.48,73.74,1,11
50,73.57,11.18,95.0,7.56,6.19,14.55,91.3,1,19
51,78.09,10.55,74.93,4.37,7.21,11.39,86.21,0,19
52,71.35,13.64,85.34,7.72,5.48,15.81,86.91,1,4
53,64.11,7.01,67.69,5.82,4.88,13.51,80.02,1,1
54,66.34,4.35,65.57,4.55,4.87,11.32,83.96,1,16
55,51.55,0.0,41.6,2.09,2.32,7.39,57.54,1,10
56,52.35,3.25,63.33,4.34,3.46,8.44,65.61,0,2
57,73.54,11.89,77.9,7.99,6.13,14.06,83.45,1,5
58,64.67,3.11,70.25,4.95,3.56,11.17,64.99,0,12
59,72.51,6.52,78.4,6.71,6.38,18.59,75.18,0,2
60,74.32,9.54,80.34,8.55,4.89,14.09,92.95,1,17
61,68.96,12.76,85.32,5.96,4.39,16.98,90.95,1,17
62,76.75,12.79,69.42,7.49,6.73,15.22,89.56,1,8
63,74.24,7.19,69.31,5.77,6.64,12.83,88.36,1,20
64,56.78,1.89,66.88,5.35,4.94,11.36,72.8,0,18
65,65.02,2.85,62.69,4.73,4.36,8.09,74.91,0,11
66,68.38,11.11,75.75,7.62,5.29,16.66,80.62,0,3
67,55.42,0.0,49.95,2.74,5.1,5.37,68.04,1,4
68,80.74,12.45,89.82,7.46,3.68,15.26,90.43,0,20
69,74.46,9.81,79.09,6.77,6.51,11.81,82.09,0,12
70,62.98,2.86,58.26,4.76,4.08,8.46,71.66,0,18
71,75.97,10.4,75.2,7.2,5.03,17.14,86.56,1,9
72,79.69,8.4,89.03,4.87,4.7,11.63,85.81,0,18
73,60.31,3.62,68.48,3.44,3.58,8.67,67.71,1,14
74,74.17,2.46,67.06,5.78,3.55,12.42,76.5,0,17
75,57.2,0.0,55.74,3.16,1.85,5.27,63.8,0,1
76,80.86,9.88,75.33,6.72,6.01,16.1,89.31,0,11
77,54.15,3.05,61.63,5.56,4.56,12.21,70.81,1,6
78,75.64,9.2,67.1,7.88,7.56,14.96,79.97,0,6
79,75.1,11.83,78.16,6.94,4.82,15.62,82.58,1,5
80,74.8,13.18,87.22,7.19,5.41,16.1,81.69,1,14
81,81.1,15.87,84.87,7.85,6.63,13.74,91.65,1,3
82,74.15,5.55,74.4,6.42,5.28,13.26,81.72,1,7
83,90.91,12.24,90.2,8.22,6.86,17.81,95.6,1,9
84,84.76,11.39,79.85,8.37,7.97,14.1,86.45,0,13
85,61.16,9.89,60.29,4.06,4.9,10.94,78.56,1,12
86,57.34,3.1,53.46,4.89,3.86,11.75,66.04,0,11
87,66.96,9.7,68.08,7.92,4.56,18.36,85.33,1,8
88,76.49,5.34,80.41,6.21,5.11,11.53,75.4,1,19
89,64.11,5.62,60.91,4.19,3.42,7.84,72.2,0,7
90,61.98,2.23,63.02,3.69,2.44,10.58,68.05,1,7
91,79.61,10.66,83.74,7.2,4.83,14.66,77.78,0,18
92,67.7,6.12,66.72,6.39,4.16,14.95,74.58,1,15
93,74.71,11.05,77.75,4.82,6.32,10.48,88.93,1,3
94,67.77,4.24,62.33,4.2,5.63,11.97,75.35,1,5
95,63.48,3.45,49.23,4.07,4.02,11.36,74.66,1,13
96,61.73,1.99,62.45,4.43,2.24,14.97,68.36,0,1
97,72.51,4.67,69.94,6.6,6.2,13.07,85.01,1,10
98,63.34,1.83,61.96,3.65,3.44,10.27,68.51,1,20
99,74.21,6.2,76.22,3.97,2.57,10.39,73.3,0,17
100,63.58,4.14,57.57,4.41,6.44,9.72,73.97,0,1
101,64.48,5.3,70.95,3.6,5.89,8.94,74.94,0,18
102,79.21,13.37,78.55,7.96,7.73,15.82,91.93,0,9
103,71.66,4.09,69.42,6.76,2.1,12.96,74.24,1,16
104,90.09,12.37,93.92,8.72,5.31,16.82,93.68,0,11
105,59.43,0.0,62.27,5.32,6.18,11.5,72.78,0,12
106,51.32,0.0,60.93,5.98,1.5,10.56,65.32,1,12
107,73.54,3.84,80.72,4.72,3.7,11.36,75.09,1,17
108,83.92,10.25,90.27,8.57,5.01,18.52,84.95,0,3
109,55.17,2.0,63.87,4.61,4.35,12.62,69.3,1,8
110,78.76,8.68,86.86,6.39,4.09,14.56,82.72,0,12
111,62.77,4.03,70.55,4.48,3.63,10.09,69.17,0,20
112,72.04,7.57,62.82,5.7,4.88,10.08,79.41,0,4
113,69.8,7.33,71.69,2.41,8.65,11.07,81.77,0,13
114,61.36,0.39,53.47,4.94,4.93,11.43,66.28,0,4
115,78.96,12.32,77.5,6.74,5.92,16.16,86.98,0,3
116,50.56,1.13,56.88,3.13,2.97,11.5,63.15,1,20
117,59.77,2.04,65.24,3.16,3.43,7.73,72.31,0,5
118,79.38,10.32,77.33,3.94,5.18,10.89,87.42,1,1
119,55.75,2.87,57.28,6.64,5.77,11.89,74.61,1,14
120,76.4,8.75,67.15,5.64,8.04,13.33,79.56,0,13
121,84.41,11.27,82.93,8.41,6.63,13.82,88.23,1,20
122,67.48,3.38,75.24,4.0,5.36,12.96,72.55,0,3
123,53.51,3.5,52.38,4.47,5.01,10.15,71.95,1,1
124,61.01,1.82,58.73,5.74,3.52,9.74,74.91,0,5
125,86.93,11.58,79.49,7.1,8.13,15.33,90.05,1,20
126,54.82,0.01,63.28,2.69,5.38,9.01,73.78,1,3
127,65.21,3.39,61.14,5.05,3.68,13.74,73.88,1,4
128,65.65,10.98,84.08,6.08,6.92,13.02,75.29,1,8
129,70.61,7.71,77.76,5.77,4.79,8.28,80.08,0,6
130,52.47,0.0,42.3,3.82,4.95,9.86,65.01,0,19
131,74.76,9.04,81.94,6.85,2.88,12.95,84.62,1,5
132,78.2,9.67,78.05,6.22,6.38,11.83,82.51,1,4
133,80.6,8.57,77.34,4.91,4.73,14.95,76.91,1,12
134,58.3,1.82,54.86,3.45,5.85,11.95,79.18,1,2
135,60.79,2.1,61.71,4.87,3.73,10.22,69.67,1,2
136,81.85,14.24,87.44,8.51,7.0,15.79,98.94,1,17
137,80.19,8.44,86.29,8.18,4.64,18.11,85.73,1,1
138,77.76,13.78,73.03,7.62,8.47,13.7,79.32,0,2
139,51.78,0.0,61.05,4.04,1.0,13.32,64.74,1,13
140,70.35,3.22,58.3,5.72,3.34,12.41,67.15,0,6
141,66.78,6.27,63.52,5.99,6.23,13.08,88.01,0,16
142,67.87,4.67,64.26,4.76,2.94,14.74,73.54,1,17
143,58.85,2.59,63.29,3.43,2.84,8.51,67.93,1,6
144,87.84,16.56,81.53,7.3,6.88,15.77,89.58,0,6
145,69.51,7.46,73.31,7.07,6.21,10.89,77.45,1,2
146,64.81,5.91,62.24,6.16,4.57,15.66,78.32,0,8
147,57.59,2.09,60.55,3.44,4.84,11.2,68.49,1,12
148,57.24,0.07,51.49,5.65,3.13,11.14,63.69,0,6
149,70.56,8.35,71.12,3.99,5.05,12.32,82.02,0,16
150,56.67,0.94,60.36,5.34,2.45,11.15,67.58,0,14
151,70.7,2.15,71.58,4.2,1.4,13.42,75.35,0,13
152,73.53,10.14,77.48,5.54,5.97,13.26,81.18,1,14
153,63.82,5.67,57.74,3.4,5.75,11.44,70.14,0,6
154,65.6,5.82,62.69,6.28,3.85,13.72,75.86,0,12
155,70.58,4.25,66.9,4.6,2.91,7.07,69.62,1,16
156,55.99,0.0,47.48,3.45,2.15,10.03,64.9,1,2
157,76.98,8.07,69.79,5.91,5.36,13.07,76.98,1,9
158,56.51,0.03,48.76,3.3,3.83,9.84,60.2,0,6
159,64.82,1.45,62.15,5.24,2.93,10.81,64.47,0,11
160,57.74,3.55,64.77,5.21,2.58,14.47,71.53,1,12
161,68.05,6.66,70.09,6.46,6.46,16.33,89.65,1,18
162,53.31,2.31,61.73,5.0,1.91,12.19,65.59,1,10
163,64.83,3.34,67.53,4.99,2.42,8.77,63.51,0,1
164,58.76,0.04,57.42,3.9,2.41,10.77,62.55,0,11
165,75.19,9.09,71.51,4.53,8.13,10.77,83.56,0,10
166,67.79,5.18,64.5,3.51,4.02,10.32,83.7,0,11
167,76.7,4.11,76.01,8.02,2.21,12.78,84.32,1,17
168,62.94,5.37,72.04,5.15,4.93,13.24,73.54,0,10
169,81.23,11.37,88.0,8.36,3.36,16.64,84.08,1,13
170,83.69,12.17,85.15,7.86,6.55,17.14,94.89,0,16
171,64.24,6.17,63.49,4.81,4.94,10.91,74.52,0,17
172,68.16,8.72,61.04,5.82,6.9,8.97,79.2,0,13
173,60.21,7.66,68.74,6.58,5.8,16.2,83.56,0,9
174,73.71,8.46,65.5,5.97,5.51,13.88,78.87,0,7
175,74.16,10.17,80.64,5.27,6.56,14.54,82.16,1,20
176,74.21,10.28,73.37,6.58,7.38,14.25,84.65,1,10
177,61.54,0.0,59.95,3.01,3.99,11.46,67.48,1,7
178,65.48,7.92,66.97,5.5,5.16,9.63,74.88,0,1
179,65.99,7.68,57.2,5.47,6.54,10.36,68.53,1,16
180,55.22,8.8,60.9,5.96,6.22,17.88,75.88,0,19
181,72.51,10.07,80.64,7.42,4.07,13.88,90.7,0,15
182,61.9,4.75,60.42,6.38,4.41,13.03,77.26,0,3
183,74.71,10.39,78.96,5.69,6.87,14.72,86.72,0,4
184,71.84,9.42,70.97,7.0,5.66,14.78,83.64,0,4
185,77.46,8.45,82.04,7.82,4.94,12.23,79.63,1,17
186,65.75,10.12,69.91,4.49,6.54,8.94,87.98,0,3
187,78.2,9.24,78.73,5.46,3.71,12.26,82.51,1,5
188,63.52,6.42,66.58,5.51,3.1,11.94,69.62,0,2
189,69.42,5.12,61.83,3.25,2.14,13.83,72.24,0,16
190,72.67,10.65,78.67,7.2,6.42,15.48,89.38,1,16
191,60.75,6.22,65.61,5.68,5.44,10.96,78.6,0,16
192,69.05,9.45,68.79,5.79,6.11,10.88,79.64,1,18
193,74.87,3.04,73.41,5.3,4.5,14.28,70.81,1,15
194,84.5,15.85,81.81,9.48,6.67,13.97,93.46,0,14
195,68.14,4.25,70.29,5.43,5.53,10.77,82.42,1,12
196,63.74,2.35,63.56,4.88,3.68,12.73,71.1,1,14
197,74.26,10.27,85.18,10.0,3.96,19.58,81.24,1,15
198,65.12,4.78,61.92,4.9,2.99,13.5,71.66,0,13
199,81.1,18.54,85.09,9.84,9.48,13.99,99.47,1,14
200,66.02,2.41,58.1,5.1,3.99,12.57,69.99,0,14
201,76.54,12.11,77.49,5.23,6.19,13.36,83.64,1,3
202,64.12,8.83,56.41,5.6,7.05,8.72,72.86,0,20
203,74.77,7.28,76.2,7.29,4.5,13.41,79.87,1,10
204,90.52,11.96,85.45,7.43,6.27,15.67,95.74,0,17
205,62.49,3.38,64.08,5.73,5.8,9.63,74.45,0,20
206,66.46,4.61,58.73,4.71,2.89,14.02,67.91,1,10
207,69.57,5.7,74.76,5.44,4.58,7.99,79.34,1,7
208,75.15,5.7,59.11,7.25,4.54,17.17,79.65,0,13
209,75.34,11.03,77.32,4.92,4.83,11.18,85.41,0,7
210,61.53,2.93,48.54,3.31,4.67,6.53,67.32,0,17
211,71.64,5.61,76.15,6.51,2.39,13.17,83.52,0,12
212,85.24,10.6,80.61,8.59,6.71,12.72,88.09,1,7
213,59.86,3.35,72.42,6.56,3.74,15.9,77.27,0,6
214,58.88,0.0,55.27,3.52,2.86,11.06,61.39,0,15
215,66.41,3.3,61.35,3.83,4.51,6.7,63.95,1,6
216,70.11,7.41,82.69,5.08,6.78,16.02,76.63,0,6
217,59.46,5.53,70.02,5.23,2.69,13.6,73.79,1,10
218,58.46,5.55,66.33,5.63,6.16,10.92,69.22,0,11
219,54.62,0.0,46.0,3.36,3.56,9.99,63.66,1,10
220,56.44,2.16,70.05,4.14,1.97,9.47,69.45,1,7
221,65.52,0.68,61.79,4.9,2.63,7.58,74.71,0,4
222,60.85,6.0,59.2,4.73,9.0,14.03,71.54,1,18
223,66.19,4.76,58.27,5.28,4.48,11.49,74.95,1,15
224,81.44,13.22,84.04,7.29,3.69,16.76,94.49,1,1
225,70.08,1.7,60.0,5.58,5.13,14.24,69.29,0,16
226,58.27,0.0,53.2,3.51,3.19,10.03,66.32,1,6
227,79.11,10.31,77.85,6.72,4.07,15.94,81.09,0,14
228,70.08,4.85,62.6,5.41,5.64,9.78,59.88,1,10
229,70.1,5.78,79.39,3.9,6.89,13.5,81.94,0,15
230,72.95,8.86,72.08,4.58,4.72,14.9,84.6,1,11
231,65.2,3.62,72.18,5.76,4.97,18.12,72.38,0,13
232,75.2,5.98,87.29,6.31,3.91,14.13,85.9,0,19
233,77.29,14.26,85.03,5.55,6.61,14.34,91.26,0,18
234,74.55,7.01,78.83,5.68,4.59,17.51,82.32,1,5
235,70.06,6.09,69.97,5.41,4.83,12.4,78.38,0,6
236,60.01,3.44,58.53,3.02,4.52,7.56,72.36,1,18
237,95.19,15.47,95.0,8.72,6.01,16.78,99.94,1,17
238,59.18,0.0,59.23,1.87,3.83,12.77,62.9,0,5
239,70.32,11.14,75.78,6.45,6.95,13.41,86.14,0,14
240,81.27,14.2,91.13,6.8,4.58,14.34,86.68,1,9
241,79.33,12.82,84.23,7.7,7.15,18.02,87.98,0,4
242,61.86,2.43,49.26,3.86,6.79,11.65,68.97,1,2
243,71.01,4.52,62.3,6.71,3.89,8.9,79.04,0,11
244,68.43,7.52,54.48,5.54,8.6,10.17,73.71,0,8
245,75.34,6.44,72.36,5.96,3.29,10.87,84.62,0,8
246,62.46,0.0,69.14,4.3,1.3,9.2,68.91,0,20
247,78.48,4.21,62.41,4.98,3.84,11.73,67.41,1,7
248,72.82,8.26,75.15,5.5,5.06,12.6,90.29,1,17
249,66.61,2.32,70.41,4.9,3.03,13.95,74.67,0,17
250,70.8,8.53,72.24,6.29,6.14,13.85,81.19,0,17
251,84.7,14.4,83.04,7.91,4.7,12.52,89.34,0,14
252,76.91,8.15,64.97,6.04,2.11,11.63,82.29,0,8
253,54.66,0.0,47.9,3.14,1.27,11.03,62.14,0,10
254,85.04,16.37,88.46,9.77,6.81,16.49,100.0,0,13
255,80.65,11.5,91.29,6.74,6.04,13.85,91.28,1,17
256,89.57,14.17,86.59,9.08,6.72,17.2,94.36,1,4
257,74.59,10.46,79.73,7.18,5.59,13.6,78.86,0,18
258,50.48,0.0,55.31,4.4,5.01,13.48,60.5,1,10
259,76.29,14.67,79.95,6.87,7.09,12.63,94.06,1,11
260,67.57,6.58,52.14,6.21,6.03,11.54,81.04,1,11
261,81.46,13.39,80.04,7.84,5.32,18.21,86.52,1,7
262,56.97,0.38,53.99,3.66,3.97,8.73,67.56,1,1
263,82.25,11.38,82.16,5.68,5.23,15.0,88.87,0,8
264,83.23,11.13,84.4,8.07,3.47,17.83,89.1,0,16
265,69.15,12.2,73.55,7.72,6.08,17.07,84.72,1,15
266,49.86,0.0,46.15,2.27,2.84,5.13,58.33,1,19
267,63.46,6.55,71.58,4.73,3.73,12.97,78.87,1,1
268,64.01,5.44,59.95,3.8,4.73,12.94,72.96,1,5
269,74.41,9.37,68.15,4.6,6.44,8.77,78.74,0,18
270,67.85,10.75,77.37,5.59,8.15,13.95,80.72,0,14
271,54.89,2.95,53.32,3.88,5.75,9.53,66.2,1,5
272,74.58,6.41,72.51,6.39,4.53,14.88,77.02,0,6
273,72.93,7.65,70.42,6.76,5.46,12.52,76.11,0,15
274,54.88,3.09,58.74,2.54,4.9,6.24,69.79,1,16
275,54.38,0.41,57.28,2.51,3.33,9.75,68.72,0,11
276,55.02,2.03,62.76,3.85,1.07,12.13,64.92,0,14
277,86.63,15.71,92.14,8.61,6.56,17.59,94.15,0,7
278,58.88,1.96,59.87,5.53,5.57,14.75,70.49,0,20
279,82.9,11.9,80.05,7.56,5.92,16.77,86.39,0,5
280,79.89,13.48,62.74,5.33,10.0,11.7,86.72,0,2
281,73.05,9.78,78.71,8.36,3.67,20.48,83.83,0,14
282,53.73,1.86,46.45,2.22,5.33,7.74,68.85,1,17
283,55.46,0.0,62.7,3.65,4.37,12.21,60.69,0,14
284,64.77,7.43,67.47,6.87,6.09,13.25,81.31,0,18
285,74.6,12.27,74.9,8.17,6.19,15.99,88.89,1,4
286,69.28,7.68,70.13,6.48,4.09,13.51,76.19,0,11
287,79.45,8.25,70.19,5.47,7.72,10.3,84.86,1,2
288,81.7,11.72,91.93,7.28,4.66,14.94,96.97,1,4
289,64.33,0.0,66.96,4.02,2.2,10.97,67.01,1,9
290,51.61,0.0,47.92,4.32,4.97,8.85,60.96,1,14
291,66.41,5.48,67.0,3.2,3.61,12.8,76.22,1,13
292,73.39,5.09,75.86,6.42,2.96,12.48,70.43,0,14
293,76.12,8.55,82.63,5.86,6.5,10.36,81.22,0,10
294,69.09,7.23,68.81,8.08,4.54,15.6,81.54,0,19
295,71.67,10.58,64.76,5.02,8.56,13.47,85.92,0,7
296,74.64,5.76,77.06,5.96,4.42,12.77,79.48,0,15
297,68.18,6.88,62.7,5.46,5.48,10.2,78.35,0,3
298,68.1,4.24,65.67,4.35,6.31,10.17,70.37,0,7
299,58.83,6.15,66.9,5.33,5.66,10.57,75.25,0,2
300,48.94,0.0,51.14,1.89,3.95,11.23,71.31,0,3
301,68.3,8.18,66.38,6.65,5.69,13.66,71.52,1,2
302,92.76,12.18,87.11,8.07,8.97,9.97,100.0,0,16
303,62.04,1.4,58.32,5.23,4.43,8.91,70.23,0,15
304,78.94,9.7,70.08,4.42,4.47,11.06,79.56,0,16
305,66.56,6.69,76.55,4.06,5.63,9.73,76.57,1,12
306,75.47,8.07,80.8,5.76,6.45,15.83,79.28,1,18
307,67.07,9.74,65.47,6.23,5.72,14.42,80.46,0,4
308,72.34,11.25,79.05,7.66,7.26,15.67,82.03,1,10
309,77.25,10.78,81.1,7.62,3.81,9.77,89.22,1,7
310,75.26,2.44,66.59,5.37,3.7,9.26,76.19,0,1
311,57.26,2.95,64.95,3.8,2.94,8.54,68.57,1,3
312,67.02,5.15,57.37,4.87,4.66,12.09,74.58,0,18
313,92.03,16.78,95.0,9.04,7.7,16.24,93.71,1,3
314,89.46,11.81,84.56,6.83,4.4,16.15,89.95,1,9
315,54.7,0.0,52.16,5.11,1.21,13.04,65.92,1,11
316,72.98,10.4,76.2,7.24,4.88,11.61,86.59,1,20
317,60.85,7.49,58.87,3.83,6.57,16.2,74.43,0,19
318,61.12,3.67,56.79,3.4,3.24,5.79,70.66,0,1
319,91.03,17.37,83.01,8.71,8.6,19.14,93.77,1,9
320,64.63,0.33,50.48,4.67,4.38,10.74,68.82,0,15
321,74.22,8.74,69.84,6.55,5.05,15.91,79.39,0,9
322,62.97,6.71,53.66,4.42,8.12,10.82,69.33,0,18
323,78.53,8.28,75.93,5.41,7.85,13.5,91.23,0,7
324,92.62,13.44,87.65,8.97,6.31,17.41,93.85,1,11
325,75.71,11.68,77.75,6.48,7.85,13.87,85.51,1,13
326,64.55,4.82,61.32,3.59,3.47,10.74,80.17,1,3
327,64.51,0.66,66.23,4.51,2.52,10.88,66.11,0,8
328,65.55,0.4,62.31,3.61,4.46,7.19,63.44,1,18
329,79.5,11.19,92.7,8.69,5.17,13.24,83.18,0,1
330,75.46,5.18,70.82,5.85,4.4,13.66,76.13,0,13
331,56.18,5.25,57.13,2.53,4.58,8.52,74.38,1,2
332,65.31,7.3,77.12,4.44,5.48,11.34,79.68,1,12
333,50.63,3.3,47.83,3.7,4.07,10.76,71.44,1,15
334,53.37,0.0,35.4,4.6,5.81,10.52,67.66,0,6
335,47.26,0.0,49.01,1.68,4.35,8.0,60.27,1,2
336,69.93,6.54,68.42,6.55,5.08,12.65,79.51,1,20
337,72.3,9.29,62.04,6.32,5.04,13.44,87.79,0,6
338,65.24,9.19,77.3,6.9,3.3,13.85,79.0,0,10
339,60.33,0.0,45.85,1.91,2.98,7.46,57.35,0,17
340,69.88,5.29,63.9,7.03,5.55,9.66,75.7,0,13
341,62.97,6.8,72.99,5.58,6.07,8.48,88.9,0,8
342,59.4,3.45,53.8,2.87,5.41,11.99,70.92,1,14
343,58.92,4.29,60.53,4.6,2.93,10.4,76.55,1,11
344,64.66,0.61,54.19,3.09,5.88,9.89,63.79,0,6
345,73.48,7.71,79.82,7.41,5.07,11.55,85.7,0,17
346,71.53,8.0,84.72,6.44,4.14,15.98,82.67,0,12
347,69.74,5.01,69.44,7.4,5.82,16.32,78.45,0,10
348,71.01,7.12,66.53,6.08,4.85,10.28,82.64,1,14
349,55.62,4.7,44.47,4.01,5.53,8.15,67.94,1,20
350,61.39,2.13,55.11,4.51,5.24,9.38,75.6,1,15
351,77.61,10.79,78.57,7.31,6.12,14.08,89.46,0,16
352,60.59,7.46,80.45,6.13,5.23,13.24,73.15,0,14
353,45.59,0.0,41.3,2.08,3.91,6.97,57.57,0,10
354,61.28,3.41,75.09,4.88,2.58,11.81,76.06,0,20
355,86.48,17.74,87.78,8.85,4.37,14.9,94.6,0,8
356,59.72,5.69,57.57,4.8,3.08,11.68,75.51,0,4
357,73.36,8.59,75.05,6.89,5.9,15.58,76.94,1,4
358,46.47,0.0,56.9,3.7,2.17,7.98,68.47,1,20
359,65.34,13.13,68.15,7.27,6.86,17.05,86.28,0,9
360,70.27,7.75,59.35,6.0,4.12,14.32,68.39,0,9
361,84.93,11.93,88.85,6.94,6.0,15.23,92.44,1,3
362,75.8,7.49,77.04,6.87,4.48,11.61,74.08,0,8
363,82.32,11.8,78.01,7.01,4.13,11.7,79.34,0,17
364,54.99,0.0,53.47,3.86,2.97,8.63,66.53,0,1
365,57.46,2.17,56.72,3.1,5.5,5.37,71.31,0,6
366,59.17,0.93,38.53,4.47,4.25,9.78,67.25,1,7
367,70.64,12.12,69.07,5.35,7.4,10.66,82.92,1,12
368,84.8,13.69,65.53,6.36,7.19,12.12,90.47,1,16
369,75.09,3.11,66.4,6.12,4.0,15.02,74.65,1,1
370,72.28,4.02,71.5,5.82,3.64,14.22,76.07,0,14
371,62.89,3.45,69.6,4.3,5.72,11.82,74.8,0,14
372,59.77,3.7,66.58,3.13,6.83,10.02,73.89,0,3
373,75.4,9.35,70.9,5.69,3.95,15.19,83.13,1,17
374,68.04,6.59,62.84,5.09,2.94,15.4,70.43,1,2
375,84.03,13.28,88.27,7.98,5.18,16.73,100.0,1,17
376,75.45,11.28,83.22,6.11,7.01,17.23,82.87,1,13
377,62.65,6.42,62.78,5.76,5.24,11.67,71.32,0,10
378,71.97,6.86,75.51,5.01,7.7,13.31,86.66,0,13
379,64.96,4.61,69.13,5.23,3.96,9.73,71.99,1,2
380,61.74,1.0,70.13,5.64,4.05,13.98,72.35,1,10
381,64.62,2.64,64.98,3.47,3.92,9.49,79.71,1,6
382,74.86,11.59,82.73,7.14,4.36,11.72,81.69,0,4
383,51.37,0.0,35.0,4.07,1.84,10.54,55.65,1,3
384,75.76,12.57,80.05,7.82,4.7,14.11,87.6,0,6
385,85.75,12.64,85.31,7.03,6.06,16.35,86.81,0,11
386,68.72,8.64,61.27,5.8,4.9,10.46,84.29,1,6
387,40.6,1.76,40.07,3.05,4.91,9.15,61.83,0,14
388,74.37,9.16,72.09,6.01,4.79,13.55,84.78,1,6
389,78.82,11.47,77.84,6.89,8.65,15.42,90.28,1,18
390,69.88,9.54,81.58,6.11,7.04,14.3,77.75,1,20
391,61.39,4.09,51.99,3.26,5.93,11.48,68.94,1,14
392,65.02,8.05,75.14,7.16,5.69,15.77,81.04,0,14
393,77.2,5.56,68.11,6.02,3.5,14.91,83.71,1,7
394,57.02,5.93,60.86,4.24,3.05,12.43,71.86,1,18
395,60.22,4.15,64.15,4.79,5.05,12.19,80.9,1,7
396,67.8,10.2,64.32,5.0,6.11,12.48,78.47,1,5
397,82.38,6.82,78.89,6.33,6.16,15.42,80.61,1,17
398,77.32,13.03,79.15,6.82,8.8,15.18,88.46,1,1
399,72.79,10.08,74.02,6.26,6.41,18.82,86.43,1,7
400,59.23,4.7,59.42,3.99,4.62,9.94,76.32,1,7
401,75.32,7.43,78.56,4.53,5.02,11.05,80.92,0,8
402,72.41,7.98,74.43,6.39,1.87,12.19,83.01,1,13
403,58.95,4.04,58.31,5.18,4.19,7.28,74.46,1,7
404,71.68,9.6,75.17,7.29,4.94,12.53,88.52,0,19
405,68.35,5.77,63.14,4.47,5.02,12.13,74.56,1,7
406,77.92,6.91,75.92,5.93,6.24,14.17,78.87,1,13
407,74.63,10.88,75.04,5.81,9.31,14.0,92.98,1,5
408,71.62,6.61,60.59,4.6,4.88,10.83,80.98,1,11
