firm_id,innovation_score,ai_intensity,prior_innovation,rd_intensity,digital_capability,ln_employment,firm_age,export_share,industry
38,45.81,5.8,37.59,4.04,6.69,4.33,13.11,0.12,6
39,58.43,6.9,55.07,8.3,6.64,5.54,18.87,0.31,4
40,58.09,3.46,44.95,8.74,6.04,6.41,17.18,0.08,3
41,41.38,6.19,39.51,5.04,5.22,5.11,18.41,0.41,1
42,63.24,4.86,48.09,7.87,6.96,5.65,22.53,0.38,6
43,49.02,5.92,48.92,7.48,6.01,6.4,16.78,0.12,6
44,53.43,3.99,48.39,6.9,6.2,4.38,45.0,0.17,5
45,42.83,2.06,41.43,3.41,5.22,5.44,6.74,0.15,3
46,42.56,3.47,29.44,5.22,4.9,5.97,26.69,0.14,5
47,19.01,0.0,10.77,2.35,3.46,3.68,19.7,0.02,5
48,29.5,1.94,35.83,5.33,4.14,4.31,3.86,0.28,1
49,59.65,4.41,57.76,7.03,7.78,5.04,10.98,0.06,4
50,43.74,3.32,42.04,5.43,5.86,6.28,8.22,0.0,6
51,60.45,3.84,51.81,7.15,5.32,6.02,15.81,0.21,6
52,25.91,1.21,31.83,2.11,3.0,5.19,15.79,0.0,2
53,41.83,2.99,33.54,5.69,5.78,4.53,7.66,0.32,1
54,57.31,6.17,40.11,8.36,5.6,4.61,10.01,0.26,5
55,44.25,5.19,29.64,5.18,4.14,5.28,21.95,0.21,3
56,59.23,5.17,44.71,8.21,6.72,5.97,5.39,0.24,1
57,35.97,3.29,46.43,4.7,6.04,5.78,10.53,0.0,2
58,39.73,5.01,32.55,4.07,6.04,5.91,11.39,0.23,4
59,34.24,0.78,31.08,3.25,3.24,4.15,11.82,0.11,1
60,31.51,2.39,30.5,3.01,5.08,4.99,15.56,0.22,5
61,34.2,2.73,28.1,4.47,4.21,4.16,6.73,0.0,6
62,29.4,2.62,23.91,0.92,5.13,4.65,6.09,0.16,3
63,47.42,3.36,37.15,4.63,6.02,5.08,10.31,0.29,6
64,63.51,5.7,48.43,8.12,6.9,5.16,14.82,0.34,6
65,39.94,5.22,46.38,4.98,5.42,5.72,5.61,0.19,4
66,31.61,1.89,37.41,5.73,3.47,4.27,9.46,0.23,1
67,50.27,4.16,39.94,6.45,4.17,5.09,23.83,0.1,2
68,40.43,4.95,37.7,3.69,6.4,5.43,5.55,0.11,6
69,42.88,3.9,36.61,5.07,5.72,4.46,13.16,0.06,4
70,60.51,5.95,51.24,8.22,7.79,5.59,16.28,0.4,6
71,49.48,3.31,38.72,3.47,5.66,6.63,13.34,0.38,3
72,78.18,9.75,69.63,7.8,9.46,6.72,26.98,0.14,6
73,42.64,2.98,37.4,5.56,5.07,4.98,8.82,0.03,5
74,35.62,0.95,29.5,2.93,4.22,4.63,20.84,0.2,5
75,27.7,1.52,32.18,5.73,2.32,4.66,19.55,0.0,1
76,48.3,1.49,34.95,5.5,3.2,5.94,32.42,0.0,4
77,46.92,6.12,32.54,5.9,3.54,5.54,6.26,0.05,2
78,37.47,3.82,32.06,5.75,3.98,3.8,17.01,0.0,2
79,52.42,5.24,50.71,8.05,5.68,5.91,19.12,0.11,2
80,48.75,2.68,36.74,3.83,5.84,6.98,25.66,0.17,5
81,57.68,5.27,50.33,8.83,8.1,6.29,23.47,0.18,1
82,42.59,2.98,34.62,2.32,5.16,4.41,23.83,0.1,3
83,43.17,4.93,44.08,6.1,6.47,6.16,7.87,0.13,3
84,54.98,5.71,43.72,5.26,7.63,4.85,21.68,0.11,4
85,49.69,5.65,44.97,4.98,4.25,5.65,10.15,0.0,4
86,58.11,7.74,55.68,7.19,7.84,6.15,8.25,0.38,4
87,41.16,5.17,36.57,4.53,5.41,4.78,18.31,0.17,3
88,57.19,5.72,55.7,8.1,5.47,5.64,14.48,0.37,6
89,45.97,3.77,43.07,7.19,6.65,5.18,11.53,0.21,2
90,42.45,1.51,36.61,4.11,4.23,4.35,11.29,0.22,2
91,55.39,7.35,41.73,6.75,8.13,5.54,29.46,0.21,6
92,66.82,9.79,58.33,7.8,7.29,5.69,12.56,0.29,5
93,29.45,2.87,35.49,4.79,5.09,3.62,23.49,0.04,1
94,39.6,3.97,38.36,5.09,6.96,5.61,8.54,0.17,2
95,30.66,2.16,30.76,4.34,4.16,6.03,20.48,0.11,4
96,44.36,5.1,42.45,5.94,4.69,5.66,15.68,0.13,1
97,45.58,2.93,50.03,3.5,4.83,5.31,21.72,0.21,3
98,41.69,2.49,29.51,2.7,3.71,4.8,14.51,0.19,6
99,41.36,3.88,33.89,4.66,7.21,3.87,6.45,0.32,5
100,55.12,7.25,47.59,7.26,7.98,7.02,7.8,0.27,1
101,64.0,9.14,49.61,7.07,8.67,5.88,10.52,0.24,6
102,48.75,3.41,44.84,5.64,6.69,5.93,20.28,0.21,3
103,66.94,6.29,45.53,8.9,7.1,5.05,13.81,0.26,5
104,67.79,7.62,55.95,7.42,6.27,6.74,8.93,0.28,4
105,25.93,0.26,31.77,1.66,2.55,5.15,15.07,0.27,4
106,50.3,4.88,36.65,3.97,5.33,5.65,13.98,0.09,4
107,27.29,3.52,25.38,1.53,3.48,4.39,24.62,0.09,5
108,39.42,4.73,41.59,2.35,5.69,5.03,10.37,0.45,1
109,41.55,0.67,30.86,4.44,4.79,3.91,14.42,0.12,3
110,40.57,2.06,31.3,3.69,5.02,5.27,12.05,0.16,4
111,45.51,5.49,37.15,4.04,7.55,5.21,5.66,0.31,6
112,36.03,1.29,34.47,4.72,5.09,4.59,12.35,0.35,2
113,58.8,6.36,44.35,6.49,4.01,4.19,29.62,0.31,4
114,17.7,0.45,19.58,2.77,1.52,3.86,33.23,0.09,2
115,45.38,3.15,43.09,2.85,7.51,5.53,8.12,0.0,1
116,44.79,2.76,33.05,4.02,4.2,4.19,15.5,0.09,6
117,34.16,4.34,43.43,3.27,5.9,3.72,9.0,0.22,2
118,36.37,0.41,33.78,5.78,4.01,4.39,20.57,0.07,1
119,41.21,3.45,44.42,6.84,5.02,3.97,23.52,0.26,5
120,44.2,3.7,32.41,5.84,3.68,4.02,13.24,0.32,4
121,45.45,2.05,38.16,3.76,4.68,6.05,4.88,0.23,6
122,57.77,6.87,38.85,5.86,5.82,5.04,31.07,0.18,1
123,35.55,1.93,34.68,4.14,3.16,5.08,10.14,0.32,1
124,51.25,4.89,42.67,7.22,5.32,3.69,16.12,0.31,2
125,45.02,5.38,32.87,4.3,5.65,5.32,9.84,0.08,6
126,29.76,0.0,20.89,4.28,3.58,4.27,13.16,0.0,1
127,46.02,3.63,38.3,6.22,4.4,5.26,16.56,0.08,2
128,62.93,7.65,51.06,8.94,7.24,6.87,26.07,0.4,3
129,21.09,0.5,28.29,2.18,2.66,4.67,7.93,0.0,2
130,69.48,7.3,53.83,8.46,10.0,6.96,9.5,0.46,6
131,43.25,4.43,42.78,5.41,6.36,4.83,6.24,0.17,2
132,31.33,0.83,23.13,0.2,1.87,4.49,13.57,0.05,2
133,46.87,1.36,35.15,3.49,3.06,4.77,13.52,0.19,4
134,16.98,0.0,18.25,1.79,1.87,4.49,6.61,0.02,1
135,48.07,4.52,37.46,5.5,5.19,4.4,7.28,0.25,1
136,29.66,2.98,35.11,1.9,5.04,3.89,17.63,0.16,5
137,32.14,3.51,25.41,2.14,4.33,4.76,13.05,0.04,1
138,44.17,6.35,36.65,4.49,7.1,5.72,17.92,0.36,1
139,47.8,4.09,33.33,2.93,5.65,4.58,4.61,0.14,4
140,49.09,5.28,45.59,4.53,6.35,5.48,5.61,0.16,2
141,53.53,8.48,50.86,7.92,7.22,5.44,7.57,0.44,5
142,43.63,5.46,41.72,7.19,6.64,6.03,10.09,0.29,6
143,31.32,1.01,39.89,3.6,2.84,4.4,4.69,0.07,2
144,33.75,0.42,37.2,6.0,5.72,4.97,28.06,0.02,2
145,61.04,6.34,42.31,6.78,5.16,5.66,11.48,0.26,1
146,39.83,3.93,22.37,4.78,5.41,5.74,17.67,0.27,3
147,30.67,3.45,37.39,3.37,4.48,5.11,8.7,0.1,4
148,65.03,7.34,49.23,8.16,6.07,6.03,3.7,0.23,2
149,33.33,5.05,38.82,4.65,4.85,5.72,14.34,0.39,5
150,28.7,0.0,24.08,2.44,1.06,2.81,11.66,0.17,4
151,56.52,6.03,50.16,5.89,6.62,6.34,8.8,0.07,4
152,56.61,5.97,36.56,6.41,6.11,6.41,13.08,0.2,4
153,53.71,4.08,53.96,8.21,7.68,5.39,8.65,0.22,2
154,28.52,1.55,34.01,5.34,3.5,4.33,10.7,0.03,4
155,38.74,3.68,39.3,6.19,5.95,4.95,11.76,0.19,5
156,51.18,3.49,36.23,4.55,6.66,5.22,11.45,0.41,1
157,47.41,4.15,40.03,7.31,5.62,5.56,24.07,0.36,3
158,39.65,6.36,26.04,2.49,4.74,5.15,19.63,0.3,2
159,31.85,2.27,30.41,5.74,5.7,4.44,6.12,0.0,4
160,42.89,4.23,38.52,5.46,4.54,5.97,13.93,0.16,4
161,29.93,2.16,35.66,6.21,5.05,3.91,13.26,0.21,6
162,51.14,5.08,45.21,6.75,6.3,4.54,7.61,0.05,3
163,20.53,0.61,28.73,3.95,3.53,3.64,16.63,0.01,1
164,68.27,7.77,51.4,8.13,6.54,5.62,7.62,0.38,4
165,55.66,4.23,43.45,7.15,5.56,5.88,8.77,0.32,3
166,50.36,3.5,38.68,4.05,5.11,4.95,8.6,0.1,4
167,41.85,1.34,33.61,3.9,5.86,4.38,7.88,0.16,5
168,28.73,3.51,28.15,2.83,3.89,4.73,19.62,0.0,3
169,54.6,4.93,35.57,6.02,6.04,5.75,20.28,0.16,4
170,38.58,1.72,36.27,4.56,4.79,4.62,32.52,0.23,5
171,35.36,1.31,37.28,4.34,4.67,4.45,13.47,0.0,5
172,60.93,8.42,49.61,6.79,7.4,5.91,8.1,0.26,4
173,29.27,0.17,16.06,2.64,3.47,4.25,22.03,0.25,3
174,33.92,0.0,23.78,0.59,4.79,4.19,45.0,0.25,2
175,52.58,4.51,56.86,5.52,7.87,4.42,13.51,0.13,6
176,26.9,0.0,29.76,3.22,3.76,3.06,15.12,0.07,3
177,52.66,4.12,40.29,4.68,6.19,4.83,20.92,0.15,2
178,13.25,0.84,15.82,1.33,2.62,3.78,16.41,0.18,1
179,40.77,3.54,32.65,2.88,6.58,3.52,10.37,0.23,5
180,27.5,4.82,28.03,3.17,4.83,5.67,11.53,0.0,6
181,52.8,4.0,51.28,7.97,5.81,6.07,16.48,0.17,5
182,33.32,0.86,33.66,3.08,5.77,3.79,28.67,0.07,1
183,31.43,0.07,22.3,2.9,2.63,4.62,5.63,0.0,2
184,25.33,0.35,15.11,2.94,4.63,5.32,11.16,0.02,2
185,36.27,4.2,44.34,7.13,6.23,5.28,18.81,0.17,5
186,30.26,1.01,20.64,2.88,2.08,4.37,23.7,0.09,1
187,56.38,5.08,47.72,7.15,6.86,6.83,13.69,0.36,2
188,40.16,3.12,32.87,5.04,7.7,4.9,13.6,0.11,1
189,45.7,3.11,36.15,5.81,5.01,5.88,11.6,0.09,5
190,59.62,8.78,48.97,3.86,6.18,5.16,7.27,0.34,5
191,38.8,4.28,39.23,4.77,6.39,4.68,10.56,0.21,5
192,32.22,3.32,27.55,1.51,2.1,4.47,11.56,0.22,6
193,56.56,5.45,41.96,7.38,5.94,5.7,3.95,0.28,5
194,34.58,3.67,26.65,1.94,4.11,5.27,10.77,0.09,5
195,57.01,6.36,40.44,7.48,5.7,5.55,18.69,0.27,4
196,42.31,3.62,35.69,6.25,6.79,4.9,4.2,0.27,5
197,45.49,2.71,26.95,5.04,2.97,4.96,38.46,0.06,5
198,44.03,3.73,38.99,6.61,4.71,4.88,40.48,0.08,4
199,30.78,5.16,23.72,4.03,4.15,4.58,9.78,0.14,5
200,45.46,1.99,32.5,2.18,4.45,5.35,9.5,0.36,5
201,43.33,6.36,41.39,4.38,7.48,6.13,9.57,0.31,1
202,41.51,4.43,32.23,5.31,3.93,4.2,14.28,0.14,6
203,57.35,5.93,51.43,8.74,3.86,5.25,3.67,0.24,3
204,50.62,3.83,29.81,3.93,4.73,5.21,10.86,0.0,5
205,62.96,5.04,48.51,7.28,6.18,6.25,6.75,0.24,6
206,37.47,3.45,33.66,5.56,3.92,4.93,15.52,0.06,3
207,64.79,7.13,50.05,6.42,6.33,6.15,21.72,0.49,3
208,60.19,7.99,37.42,5.7,5.43,5.4,10.96,0.29,4
209,38.34,2.55,26.92,2.07,4.07,4.81,10.43,0.12,2
210,52.91,6.45,44.85,7.19,7.24,6.51,16.61,0.22,5
211,52.01,4.78,38.9,3.15,5.83,4.06,5.02,0.36,4
212,37.6,2.79,32.29,5.13,3.31,5.8,34.21,0.0,2
213,42.43,6.82,34.77,5.92,5.56,5.7,13.86,0.19,2
214,58.62,6.56,48.05,5.97,6.45,5.68,11.66,0.26,5
215,33.64,4.01,32.24,3.38,4.76,3.77,18.56,0.24,2
216,30.98,1.78,34.58,4.46,3.64,5.92,12.1,0.2,2
217,55.95,5.69,55.71,7.05,6.83,5.51,16.97,0.25,3
218,32.2,1.71,29.2,2.9,2.57,5.43,8.33,0.17,4
219,61.26,7.82,59.21,7.37,7.44,5.97,20.59,0.35,3
220,43.25,2.69,29.25,3.69,3.22,5.63,10.0,0.27,3
221,33.75,2.82,28.63,2.72,4.15,5.57,16.42,0.11,1
222,43.17,3.87,40.25,4.04,4.41,4.13,24.34,0.0,6
223,54.54,5.37,54.55,7.66,6.68,5.76,11.41,0.28,5
224,57.94,8.77,53.08,7.66,7.15,5.77,20.81,0.38,1
225,56.28,5.94,49.94,8.88,6.1,4.44,15.64,0.16,5
226,38.15,0.05,36.62,5.05,3.32,2.8,7.6,0.13,2
227,56.84,3.85,39.71,6.27,5.31,4.99,10.28,0.18,5
228,39.46,2.55,45.02,2.22,5.9,5.09,16.38,0.07,3
229,50.59,3.56,39.0,5.98,5.92,5.28,11.89,0.19,5
230,29.81,0.35,34.95,0.92,4.03,5.23,27.18,0.05,4
231,37.18,2.58,34.56,2.44,4.83,5.93,9.43,0.06,4
232,40.78,1.71,33.7,6.44,5.45,4.52,13.91,0.07,6
233,55.06,4.78,45.43,6.75,7.39,4.98,12.63,0.26,6
234,18.25,0.53,19.65,1.14,4.24,6.29,10.49,0.0,2
235,38.1,1.62,34.83,3.49,3.94,5.0,8.41,0.11,2
236,55.14,6.41,45.65,6.16,5.84,5.44,8.96,0.29,6
237,68.36,3.78,54.6,7.12,6.75,6.86,15.27,0.15,6
238,40.43,3.58,32.25,5.33,3.92,4.46,9.64,0.14,2
239,28.76,0.83,18.39,2.2,2.25,5.0,9.96,0.0,5
240,44.9,2.66,45.08,4.65,5.32,5.46,17.88,0.19,3
241,30.89,2.84,28.27,3.32,2.57,3.11,11.73,0.08,1
242,38.74,4.33,39.59,4.47,4.8,4.7,9.74,0.24,1
243,45.66,6.86,47.3,4.81,8.04,6.86,6.35,0.15,4
244,52.9,5.5,45.87,5.34,7.55,6.48,6.86,0.38,3
245,36.4,0.0,30.85,2.22,4.37,4.88,11.44,0.21,3
246,27.34,2.03,33.88,4.24,4.13,5.65,9.84,0.0,6
247,54.34,4.46,37.58,4.91,6.89,5.86,23.42,0.16,3
248,36.29,1.75,31.69,3.1,4.63,3.26,6.6,0.17,5
249,39.76,4.16,35.7,4.22,4.75,5.43,10.53,0.19,6
250,41.5,5.82,49.19,5.0,5.72,4.61,18.31,0.08,6
251,41.67,4.89,34.16,6.62,4.44,5.22,4.59,0.05,5
252,48.08,5.96,44.86,7.03,5.34,5.3,30.02,0.05,3
253,51.45,7.06,44.95,5.93,7.64,5.12,8.11,0.2,3
254,48.72,2.41,38.37,6.42,5.87,4.79,16.99,0.15,4
255,28.01,1.57,24.95,3.42,6.24,4.86,7.56,0.25,5
256,45.93,3.52,37.92,5.23,5.72,4.9,45.0,0.24,2
257,44.76,5.79,43.39,6.43,5.97,5.17,8.83,0.32,6
258,31.17,1.32,38.5,4.46,5.1,4.57,11.94,0.16,3
259,58.6,3.18,53.4,8.75,3.84,5.82,12.88,0.11,4
260,47.76,3.86,45.96,8.49,5.39,5.51,12.19,0.25,4
261,58.97,5.28,48.53,6.33,5.69,6.09,12.86,0.08,2
262,26.31,0.63,11.13,0.71,3.92,5.4,27.97,0.04,1
263,43.38,2.78,37.5,3.91,4.88,4.57,7.79,0.16,3
264,22.56,0.0,19.98,0.2,3.42,4.08,14.18,0.05,5
265,34.25,3.08,27.72,4.72,3.94,4.84,4.49,0.04,5
266,43.83,3.89,40.75,6.48,6.0,4.34,13.17,0.12,6
267,27.58,2.15,26.98,0.77,4.78,3.85,5.81,0.27,1
268,58.25,6.39,47.07,7.43,6.76,7.19,5.07,0.32,2
269,43.15,3.32,41.74,4.22,5.24,6.26,3.93,0.02,6
270,43.15,6.87,40.18,6.47,6.39,5.61,24.3,0.2,5
271,43.13,3.69,31.1,3.37,5.19,4.63,9.29,0.16,2
272,39.67,3.61,44.48,3.03,7.31,4.52,18.86,0.07,2
273,43.93,3.99,42.03,4.87,5.95,5.3,11.73,0.0,5
274,63.15,6.27,46.61,7.3,5.76,4.8,16.74,0.4,5
275,60.65,6.08,48.18,6.95,7.73,5.86,4.91,0.31,4
276,55.84,8.81,51.85,7.71,5.03,6.02,13.41,0.16,4
277,49.57,4.78,41.52,4.93,7.21,5.69,8.02,0.29,2
278,36.5,3.77,37.4,6.63,4.15,4.98,11.39,0.14,6
279,52.72,5.72,36.98,5.18,3.11,5.56,8.19,0.17,2
280,30.86,1.88,32.26,3.84,3.38,4.46,29.3,0.07,1
281,62.57,4.73,50.02,7.27,4.47,6.28,4.2,0.29,4
282,37.84,2.63,25.89,2.82,3.58,5.07,4.67,0.09,5
283,40.15,4.81,37.97,5.34,4.58,4.48,14.8,0.2,5
284,63.08,6.93,49.53,10.16,7.87,7.03,16.93,0.29,6
285,48.15,7.17,40.64,4.83,5.56,6.06,20.44,0.13,1
286,39.32,5.18,38.86,2.12,4.43,4.4,13.41,0.0,4
287,28.44,2.32,18.98,3.65,4.0,3.63,17.51,0.17,1
288,35.59,4.87,41.67,3.51,4.55,5.43,4.86,0.22,2
289,53.09,2.42,36.81,4.28,3.89,5.53,20.21,0.1,3
290,56.48,5.66,50.5,6.78,7.1,5.42,8.59,0.22,4
291,40.5,2.59,32.8,3.81,4.46,4.84,4.19,0.08,4
292,33.22,3.59,35.78,5.41,3.28,4.83,4.16,0.02,5
293,45.91,1.74,35.49,4.45,4.35,5.67,11.78,0.15,3
294,43.28,4.11,40.1,7.48,3.98,5.41,13.1,0.0,6
295,45.16,2.53,36.85,4.39,4.46,4.46,18.18,0.0,2
296,19.13,0.0,12.37,1.97,1.7,4.36,8.31,0.06,5
297,50.27,5.43,48.63,5.26,5.89,5.23,25.08,0.19,1
298,29.66,1.59,23.44,3.89,3.46,4.86,15.18,0.03,2
299,37.42,5.38,23.57,3.65,4.69,6.63,7.94,0.26,1
300,48.44,2.68,32.24,4.37,4.45,4.82,24.56,0.28,1
301,42.31,3.1,39.3,4.49,4.5,5.52,8.63,0.18,1
302,30.32,0.97,30.55,3.23,3.25,3.51,7.57,0.0,5
303,28.29,3.22,29.36,4.76,3.22,3.35,3.96,0.08,5
304,37.35,3.88,36.24,4.87,4.63,4.63,6.64,0.13,5
305,52.72,4.71,35.18,5.85,6.31,4.94,16.1,0.03,4
306,50.81,3.18,43.96,4.78,3.02,4.52,4.04,0.17,6
307,54.32,7.09,44.08,4.5,5.93,5.05,7.14,0.26,2
308,62.48,5.39,45.97,8.18,5.85,6.13,5.86,0.22,3
309,22.39,1.39,23.32,2.65,2.5,4.18,7.17,0.0,2
310,25.82,0.0,22.23,0.38,1.73,3.28,18.92,0.0,1
311,29.22,3.37,29.04,1.81,4.41,4.97,8.12,0.0,1
312,48.75,4.85,40.07,5.48,5.33,5.39,26.24,0.1,6
313,51.24,2.69,41.5,5.06,4.32,4.95,15.04,0.14,1
314,55.86,6.55,36.67,5.36,4.97,4.27,13.24,0.23,3
315,53.02,6.94,43.62,4.81,7.35,4.36,18.35,0.05,4
316,52.94,3.14,44.38,6.01,5.32,6.65,15.02,0.07,6
317,41.26,3.8,47.4,7.39,3.5,5.13,13.95,0.19,6
318,30.07,0.75,29.07,5.12,1.75,3.29,11.06,0.24,1
319,50.84,2.39,45.18,5.25,4.61,5.2,5.3,0.2,3
320,24.72,0.0,19.66,2.93,1.51,3.6,5.41,0.09,5
321,49.8,6.57,38.61,4.79,5.29,4.72,5.99,0.23,3
322,51.71,5.45,45.62,6.74,5.86,5.2,9.17,0.35,6
323,31.83,2.58,25.62,2.6,5.3,6.12,3.82,0.19,2
324,34.71,1.94,40.02,7.27,5.5,5.67,16.51,0.13,4
325,35.39,5.18,39.13,6.61,4.91,6.44,9.64,0.1,4
326,48.79,6.18,41.72,5.52,5.42,6.88,16.27,0.2,1
327,39.1,2.44,30.89,3.13,4.21,5.82,3.17,0.2,3
328,47.74,5.86,41.98,5.65,5.47,5.74,13.29,0.38,6
329,38.29,4.3,43.67,5.03,6.53,4.81,6.98,0.12,1
330,44.45,4.48,48.88,7.54,5.71,6.0,10.27,0.24,4
331,27.87,1.17,24.34,6.16,5.62,4.53,14.5,0.13,1
332,38.48,3.57,44.77,4.54,5.31,5.23,21.54,0.16,4
333,51.93,6.37,51.57,7.51,7.49,5.94,16.95,0.26,5
334,58.58,9.05,45.97,7.33,7.62,5.03,11.27,0.4,2
335,29.21,3.43,32.62,3.19,4.05,3.91,11.02,0.07,1
336,55.68,4.02,36.28,6.35,6.97,5.14,17.96,0.22,6
337,43.03,0.54,31.76,3.88,4.76,5.11,6.03,0.21,2
338,43.74,4.58,38.1,3.99,3.6,6.12,23.55,0.21,3
339,47.86,5.84,36.53,4.67,4.69,5.15,9.48,0.22,5
340,23.26,0.0,23.93,2.84,1.6,5.19,32.08,0.0,4
341,55.82,7.64,48.7,6.34,5.93,5.18,8.0,0.31,3
342,32.12,0.16,20.06,1.82,3.55,4.05,6.95,0.0,5
343,68.07,6.43,65.84,8.06,6.23,6.18,25.37,0.32,4
344,45.4,2.75,29.47,3.99,5.8,5.04,29.6,0.21,2
345,59.46,6.77,54.5,6.31,7.74,5.17,20.43,0.26,5
346,39.75,0.0,38.84,4.24,2.35,4.44,14.22,0.2,4
347,34.22,3.76,27.48,7.51,5.01,4.17,11.17,0.05,3
348,41.96,2.75,36.35,4.29,4.48,4.97,10.92,0.08,5
349,75.46,7.9,56.46,8.53,8.48,6.0,20.24,0.37,6
350,51.84,3.85,45.06,6.76,4.92,5.46,12.64,0.21,5
351,33.18,0.0,32.38,5.04,5.85,4.32,8.82,0.13,5
352,49.36,3.98,40.01,5.06,6.19,6.74,11.35,0.12,4
353,19.89,0.0,22.34,0.74,2.84,3.75,23.55,0.0,3
354,24.32,0.75,29.29,3.37,2.04,5.25,2.88,0.0,6
355,29.59,1.74,31.16,3.96,3.68,4.58,18.75,0.22,3
356,37.24,1.85,36.45,5.81,3.78,3.74,20.25,0.12,1
357,41.87,3.15,37.34,4.27,4.72,5.34,9.43,0.18,2
358,40.8,1.48,38.67,4.4,3.2,4.15,22.1,0.3,6
359,24.38,1.64,24.46,2.23,2.93,4.17,26.87,0.11,3
360,34.46,3.63,31.7,2.31,5.59,5.46,9.12,0.26,3
361,34.65,6.2,37.47,6.91,4.31,4.45,7.77,0.22,1
362,47.0,2.79,45.51,3.01,4.76,4.69,14.94,0.07,3
363,20.81,0.22,22.88,1.39,2.79,4.42,18.97,0.0,5
364,20.27,0.0,20.69,1.85,3.8,3.47,16.22,0.25,1
365,43.08,5.05,36.25,6.13,5.49,4.85,9.82,0.17,2
366,45.84,5.08,42.5,8.84,8.1,4.5,14.45,0.28,2
367,41.87,2.28,45.61,5.22,5.03,6.04,18.7,0.13,4
368,47.19,0.35,40.52,5.39,4.66,5.03,7.05,0.13,5
369,27.74,1.88,33.43,3.56,4.07,5.4,6.53,0.14,1
370,45.44,5.6,36.77,3.92,6.78,5.88,17.66,0.13,4
371,60.76,6.99,46.83,8.01,6.54,6.61,22.64,0.38,5
372,48.87,5.26,43.58,9.71,6.68,5.42,7.25,0.43,1
373,11.91,0.0,10.54,0.2,1.24,2.8,17.58,0.0,5
374,43.25,3.46,36.58,4.6,4.86,3.6,7.75,0.07,1
375,47.66,6.15,42.74,6.99,5.61,5.11,18.84,0.29,5
376,34.83,2.04,32.33,4.19,5.97,3.95,12.62,0.12,4
377,58.95,4.01,45.53,6.35,5.55,6.77,10.66,0.52,3
378,26.08,0.12,17.45,0.33,2.69,3.51,4.36,0.03,4
379,32.84,1.45,20.42,1.16,4.45,4.68,18.44,0.24,1
380,33.47,0.76,23.26,1.28,4.21,3.72,28.93,0.05,3
381,61.24,9.52,56.94,6.2,7.19,6.93,5.84,0.39,2
382,53.88,8.15,43.31,8.27,5.63,5.88,25.3,0.28,2
383,47.05,6.07,41.65,4.29,6.86,5.55,8.53,0.26,1
384,29.24,2.62,30.74,1.91,3.5,4.89,7.11,0.1,2
385,37.79,3.81,40.65,2.68,2.29,4.78,19.62,0.08,4
